كود الصنف,اسم الصنف,القسم,وحدة البيع,سعر الحبة,عدد الحبات بالكرتون,سعر الكرتون,المخزون,الرئيسي,فرع02,فرع05,معرف الصورة,عرض,جديد,وسوم,إظهار,ترتيب,ملاحظة
1001,نظارات سباحة كرت,,حبه,1.84,576,,12,0,12,6,,,,,نعم,,
1127,سياره ريموت سباق,,حبة,20.0,,,17,0,17,45,,,,,نعم,,
1128,سياره ريموت سباق,,حبة,22.0,,,60,0,60,41,,,,,نعم,,
1129,سياره ريموت,,حبة,20.0,,,44,0,44,38,,,,,نعم,,
1130,سياره ريموت سباق,,حبة,22.0,,,54,0,54,32,,,,,نعم,,
1155,طقم عرائس,,حبة,23.0,,,8,0,8,30,,,,,نعم,,
16259,سكوشي,,حبة,13.0,,,2,0,2,18,,,,,نعم,,
16270,سكوشي شكولاته,,حبة,12.5,,,71,0,71,24,,,,,نعم,,
16272,سكوشي جبن,,حبة,8.34,,,57,0,57,12,,,,,نعم,,
16273,سكوشي جبن,,حبة,8.34,,,36,0,36,12,,,,,نعم,,
16289,سكوشي,,حبة,11.67,,,2,0,2,12,,,,,نعم,,
2264-1,فانوس رمضان صغير_00346_6حبه,,حبه,8.0,144,,324,306,18,24,,,,,نعم,,
2264-3,فانوس رمضان كبير_00348,,حبه,20.0,24,,3,0,3,12,,,,,نعم,,
2505-1,عوامة سباحة شخصية باو باترول70سم_00105,,حبه,3.0,420,,173,116,57,13,,,,,نعم,,
2505-15,كتافات دائرية اشكال منوعة_00119,,حبه,3.0,500,,194,163,31,12,,,,,نعم,,
2505-16,كتافات سادة_00120,,حبه,2.35,500,,98,63,35,12,,,,,نعم,,
2505-2,عوامة سباحة شخصية باو باترول80سم_00106,,حبه,4.0,360,,202,165,37,6,,,,,نعم,,
2505-3,عوامة سباحة شخصية كرومي70سم_00107,,حبه,3.0,420,,272,244,28,6,,,,,نعم,,
2505-4,عوامة سباحة شخصية كرومي80سم_00108,,حبه,4.0,360,,23,0,23,6,,,,,نعم,,
2505-6,عوامة سباحة بحريات70سم_00110,,حبه,3.0,420,,204,179,25,6,,,,,نعم,,
500-00056,لعبة ترتيب الألوان خشب,,حبه,11.0,60,,2,0,2,6,,,,,نعم,,
500-00059,لعبة ترتيب الصور خشب,,حبه,4.0,240,,149,127,22,6,,,,,نعم,,
500-00064,لعبة تحدي كور المغناطيس,,حبه,13.0,36,,49,18,31,12,,,,,نعم,,
500-00068,بوم حفلات مقاس 30سم,,حبه,1.84,100,,533,510,23,12,,,,,نعم,,
500-00069,بوم حفلات مقاس 40سم,,حبه,2.25,100,,435,411,24,12,,,,,نعم,,
500-00086,ورق باصرة صكة_690011,,BOX,105.0,10,,19,18,1,0,,,,,نعم,,
500-00090,خشب تعليمي أعضاء الوجه_ولادي,,حبه,12.5,72,,203,193,10,6,,,,,نعم,,
500-00091,خشب تعليمي أعضاء الوجه_بناتي,,حبه,12.5,72,,301,290,11,6,,,,,نعم,,
500-00092,خشب تعليمي الصور المتطابقة,,حبه,15.0,72,,135,121,14,6,,,,,نعم,,
500-00095,خشب تعليمي ارقام عربي انجليزي,,حبه,12.5,72,,68,60,8,6,,,,,نعم,,
500-00096,خشب تعليمي الحروف الإنجليزية,,حبه,12.5,72,,83,73,10,6,,,,,نعم,,
500-00097,خشب تعليمي مقاسات كمية,,حبه,12.5,72,,209,200,9,6,,,,,نعم,,
500-00098,خشب تعليمي اشكال و ارقام,,حبه,12.5,72,,198,187,11,6,,,,,نعم,,
500-00099,خشب تعليم رسم,,حبه,11.0,144,,411,401,10,6,,,,,نعم,,
500-00100,خشب تعليمي تطابق الاشكال,,حبه,12.5,72,,309,301,8,6,,,,,نعم,,
500-00103,خشب تعليمي طقس,,حبه,12.5,72,,52,41,11,6,,,,,نعم,,
500-00104,خشب تعليمي الألوان,,حبه,12.5,72,,57,50,7,6,,,,,نعم,,
500-00150,خرز الرسم بالماس ثلاثي الابعاد_12علبة,,BOX,30.0,40,,74,59,15,1,,,,,نعم,,
500-00161,ملابس تنكرية_ميني ماوس,,حبه,26.0,120,,81,71,10,6,,,,,نعم,,
500-00163,ملابس تنكرية_كلب,,حبه,32.0,80,,12,0,12,3,,,,,نعم,,
500-00166,ملابس تنكرية_شرطة,,حبه,39.0,80,,165,156,9,6,,,,,نعم,,
500-00167,ملابس تنكرية_دكتور,,حبه,29.0,80,,26,20,6,3,,,,,نعم,,
500-00168,ملابس تنكرية_مهندس,,حبه,29.0,30,,165,160,5,6,,,,,نعم,,
500-00169,ملابس تنكرية_رجل إطفاء,,حبه,40.0,60,,139,130,9,6,,,,,نعم,,
500-00170,ملابس تنكرية_بالطو دكتور,,حبه,28.0,120,,333,325,8,3,,,,,نعم,,
